date;id;text;views.count;likes.count;reposts.count;type;link;post_id;parents_stack
2024-05-17 17:00:02;14225;Уличный праздник «День Победы» для жителей МО Правобережный.  Давайте вспомним, как прошли уличные мероприятия «День Победы», посвящённые 79-й годовщине Великой Победы для жителей округа.  Мероприятия прошли по двум адресам: ул. Чудновского, д 8, кор.1/2 и Ворошилова д.7 к.2. #Мероприятия_МО_Правобережный@mo_57 #Местная_администрация@mo_57 #Местная_администрация #МОПравобережный;1992.0;19;1.0;post;;;
2024-05-17 15:00:03;14221;16.05.2024 состоялось очередное заседание муниципального совета  Повестка заседания включала 3 вопроса. На заседании депутаты:✅ Приняли к сведению отчет председателя постоянной депутатской комиссии по благоустройству о деятельности за 2023 год.✅Утвердили отчет об исполнении местного бюджета МО Правобережный за 2023 год. ✅ Вопрос о досрочном прекращении полномочий депутата Муниципального совета внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Правобережный Горчаковой М.А. - не принят.В разном: обсудили вопросы, связанные с обустройством площадок для выгула собак. #Заседание_совета@mo_57, #Муниципальный_совет@mo_57 #Муниципальный_совет #МОПравобережный #ГлаваМОПравобережный #НиколайБеляевhttps://mo57.ru/zasedanie-munitsipalnogo-soveta-mo-pravoberezhnyj-16-05-2024/;1256.0;7;0.0;post;https://mo57.ru/zasedanie-munitsipalnogo-soveta-mo-pravoberezhnyj-16-05-2024/;;
2024-05-17 12:00:01;14219;"Ночь музеев - 2024В этом году 18 мая пройдёт традиционная акция «Ночь музеев», посвящённая Международному дню музеев.В этом году в акции участвуют более 130 музеев, галерей, библиотек, выставочных и концертных залов. С вечера 18 мая петербургские музеи открывают двери для посетителей, а также готовят специальную программу: выставки одного дня, концерты, спектакли, авторские экскурсии, мастер-классы, исторические реконструкции. Программы в музеях проходят по сеансам с 18:00 до 06:00. Желающие могут приобрести билет на сайте и сразу же выбрать сеансы. Продумывайте маршрут и выбирайте сеансы заранее – количество мест ограничено. Между музеями-участниками с 23:00 будут курсировать специальные автобусы. Полную программу музеев-участников и расписание сеансов можно найти здесь: https://www.artnight.ru/programВ муниципальном округе Правобережный тоже есть музей, созданный на стыке образования, культуры и спорта ̶ музей ""Из истории советского и российского спорта"" [club171506923|Музей спорта. Школа 667.]Музей был создан в 2005 году Георгием Юрьевичем Корховым. Первый зал музея посвящен истории олимпийского движения, а два других рассказывают о вехах становления тяжелой атлетики в стране и мире. Здесь ведется научно-исследовательская работа, проводятся ежегодные конференции, семинары, экскурсии для школьников и гостей города и страны. Наш школьный музей является инициатором создания городского музея «Спортивная Слава Санкт-Петербурга». #МОПравобережный #международныйденьмузеев#музей";669.0;5;2.0;post;https://www.artnight.ru/programВ;;
2024-05-16 10:00:02;14211;Библиотека № 9 им. Даниила Гранина открылась в 2017 году. Писатель Даниил Гранин дал согласие на присвоение своего имени ещё строящейся библиотеке в 2016 году. На сегодняшний день в ней функционирует Культурно-просветительский центр им. Д. А. Гранина, который ведёт активную деятельность по популяризации творческого наследия писателя, а также работает с материалами и информационными ресурсами, связанными с жизнью Даниила Гранина. О жизни ЦБС в Невском районе сегодня в рубрике #ПравобережныйВлицах рассказывает заведующий библиотекой Андреева Ольга Александровна. #МO_Правобережный #МО_Правобережный@mo_57 #ПравобережныйВлицах;1596.0;16;1.0;post;;;
2024-05-15 19:41:42;14206;[club5092608|ЖК Ладожский Парк] - новые площадки;1659.0;15;2.0;post;;;
2024-05-15 13:00:03;14203;Сегодня мы столкнулись с тем, что подрастающее поколение не знает или имеет неправильные представления о патриотизме. Это происходит, потому что долгое время тема патриотического воспитания игнорировалась в обществе, а патриотические ценности активно подменялись другими, ложными. Но сегодня пришло время учить детей истинной любви к Родине. 7 мая прошло 3 мероприятия для учеников [club186169061|школы № 347] на знание военной истории «Я - патриот», которые организовала местная администрация МО Правобережный. Мероприятия проходило в формате командной игры с вопросами и заданиями, связанными с военной историей России. Ребята узнали, что такое патриотизм и кто такой патриот, вспомнили Героев нашей страны. И создали плакаты на тему «Родина – это мы». В конце мероприятия самые активные участники получили медали от местной администрации.#Мероприятия_МО_Правобережный@mo_57 #Местная_администрация@mo_57 #Местная_администрация #МОПравобережный;1416.0;15;0.0;post;;;
2024-05-15 12:00:04;14198;15 мая - Международный день семейМеждународный день семей, отмечаемый ежегодно 15 мая, впервые официально отпраздновали в 1993 году. А идея учреждения этого праздника возникла еще в 1989 году.  Каждый год для Международного дня семей выбирается определенная тема. В 2024 году это ̶ «Благополучие семей и изменение климата». Этот праздник позволяет обратить внимание общественности на многочисленные проблемы семьи и постараться решить их.  В нашей стране разработаны целые стратегии демографического развития, в том числе нацпроект «Демография». Проводятся различные просветительские мероприятия, благотворительные акции для опекунских семей с детьми и для ребят из многодетных и малообеспеченных семей, тренинги для молодых семей, тематические информационно-образовательные практикумы и конференции.  2024 год объявлен Президентом РФ В.В. Путиным Годом семьи в целях популяризации госполитики в сфере защиты семьи и сохранения традиционных семейных ценностей: любви, верности, уважения, взаимопонимания и поддержки. Именно они - основа крепкой и счастливой семьи, которая является залогом стабильности и процветания общества и государства в целом.  Поздравляем все семьи нашего округа с праздником и приглашаем получить билеты на праздничный концерт, посвященный Дню Семьи - https://mo57.ru/event/prazdnichnyj-kontsert-my-odna-semya/ Для зрителей, на сцене, выступят лучшие исполнители и творческие коллективы Петербургской эстрады.  В исполнении ярких, замечательных артистов, вы услышите любимые песни о жизни и любви, о наших детях и матерях. О самом, дорогом, что есть у нас – нашей России.  Зажигательные хореографические постановки, мастерство и задор исполнителей не оставят равнодушным ни одного зрителя.  Концерт пройдёт в одном отделении.;1002.0;10;1.0;post;https://mo57.ru/event/prazdnichnyj-kontsert-my-odna-semya/;;
2024-05-15 11:00:04;14189;"Экскурсия в «Саблинские пещеры»Уважаемые жители МО Правобережный! 25 мая 2024 года состоится автобусная экскурсия в «Саблинские пещеры».Программа:11:45 – Подача автобуса по адресу пр. Пятилеток, д. 2;12:00 - Отправление автобуса. Трассовая экскурсия по маршруту следования;13:30 - Экскурсия по Левобережной пещере;15:30 - Экскурсия к водопадам на реках Тосна и Саблинка;16:30 - Отправление в Санкт-Петербург;ВНИМАНИЕ!Для получения посадочных билетов необходимо пройти электронное бронирование через форму онлайн записи на официальном сайте МО Правобережный, по ссылке:https://mo57.ru/event/ekskursiya-v-sablinskie-peshhery-2/Также предусмотрена выдача билетов в порядке живой очереди (количество ограничено).Выдача посадочных билетов на экскурсию (забронированных и по живой очереди) будет осуществляться:22 мая 2024 года с 10.00 до 13.00 и 14.00 до 17.00.по адресу: ул. Латышских Стрелков 11, к. 4, 1 этаж, каб. 8.Документы необходимые для получения билетов:✅ электронная бронь на каждого жителя (для предъявления допускается в электронном виде);✅ паспорт с отметкой о регистрации по месту жительства на территории МО Правобережный (форма 3 не подходит);✅ для детей обязательно свидетельство о рождении и справка о регистрации на территории МО Правобережный (форма №8 или форма №9)Возрастные ограничения: 7+На мероприятии может осуществляться фото и видеосъёмка. Посещая мероприятие, Вы, тем самым даете разрешение на обнародование и дальнейшее использования Вашего изображения зафиксированного в ходе фото и видеосъёмке.Распространение билетов для жителей МО Правобережный производится в соответствие с утвержденным порядком (Постановление МА МО Правобережный от 21.08.2023 № 59, с изм. Постановление МА МО Правобережный от 15.01.2024 № 4).#Мероприятия_МО_Правобережный@mo_57, #Местная_администрация@mo_57, #Экскурсии@mo_57 #Местная_администрацияhttps://mo57.ru/ekskursiya-v-sablinskie-peshhery-3/";1660.0;10;5.0;post;https://mo57.ru/event/ekskursiya-v-sablinskie-peshhery-2/Также;;
2024-05-15 10:00:05;14187;Как защититься от клещей?🕷 Сегодня в рубрике #ЭкоСреда хотим поговорить о мерах профилактики укусов клещей. Отправляясь на отдых в лес, парк или на дачный участок важно помнить, что весной активизируются клещи, способные нарушить все планы своим появлением и превратить пешую прогулку в борьбу за здоровье. Время, когда они наиболее активны обычно начинается в апреле, при температуре от +5°C, и продолжается до начала осени. Эти крошечные существа зачастую таят в себе огромную угрозу. Их укус практически незаметен, но последствия могут быть крайне серьезными, так как клещи являются переносчиками опасных заболеваний. В этой статье мы подробно разберем, как защитить себя от укусов клещей, как действовать, если встреча с этим кровососущим насекомым все же произошла и какие меры предпринять, чтобы избежать осложнений. Клещи могут быть носителями инфекций, таких как боррелиоз, клещевой энцефалит и геморрагическая лихорадка. Укусы клещей могут передавать эти заболевания человеку, поэтому важно принимать меры предосторожности, чтобы избежать подобных ситуаций. Клещи не спрыгивают с деревьев, а передвигаются по траве, низкорослым кустарникам и опавшим листьям и веткам. Опасные территории, на которых сохраняется высокий риск заражения клещевым энцефалитом, приведены в Письме Роспотребнадзора от 05.02.2024 № 02/1775-2024-32 «О перечне эндемичных территорий по клещевому вирусному энцефалиту». Согласно Письма, в Санкт-Петербурге из 18 административных территорий 6 являются эндемичными: Колпинский, Красносельский, Курортный, Приморский, Петродворцовый, Пушкинский районы. Ситуация по Ленобласти еще серьезнее: все 17 административных территорий области являются эндемичными. Клещевой вирусный энцефалит (КВЭ) – это острое вирусное заболевание, которое поражает центральную нервную систему. Вирус, вызывающий болезнь (арбовирус), передается клещами при их укусе и проникновении слюны в организм человека. Для уменьшения риска заболевания всем проживающим в эндемичных по клещевому энцефалиту районах можно пройти вакцинацию от КВЭ. Человек считается привитым, если он завершил полный курс вакцинации и прошел одну или более ревакцинацию. Вакцинацию нужно закончить за 2 недели до предполагаемого выхода в очаг инфекции. В случае укуса клеща заболевание у вакцинированного человека протекает в лёгкой форме и не влечёт за собой тяжёлых осложнений. Ежегодно в России более 3 миллионов человек прививаются от КВЭ. Профилактика клещевого вирусного энцефалита включает в себя меры по обработке территорий с высоким риском заражения специальными средствами для уничтожения клещей, а также защиту человека при помощи химических препаратов для обработки одежды и соблюдение правил поведения в местах обитания клещей. Зная врага в лицо и используя эффективные методы профилактики, можно обезопасить себя и своих близких. Если вы отправляетесь на природу, то необходимо соблюдать несколько правил:✅ Рекомендуется выбирать одежду светлых оттенков, предпочтительно однотонную, так как на ней легче обнаружить клеща. Также, желательно, чтобы одежда максимально закрывала кожу. Для предотвращения присасывания клеща на шее, рекомендуется обернуть ее шарфом или платком. Голову лучше всего защитить с помощью шапки, косынки или панамы. Кстати, существуют специальные защитные костюмы, которые обеспечивают надежную защиту от клещей. ✅ Для защиты от клещей можно применять специальные средства: репеллентные и акарицидные препараты. Перед использованием этих средств следует внимательно изучить инструкцию по применению. При правильном применении акарицидных или акарицидно-репеллентных средств в сочетании с защитной одеждой достигается максимальный уровень защиты. ✅ Во время прогулок рекомендуется делать паузы и внимательно осматривать себя и детей. Если вы гуляете с домашним питомцем, важно не забывать осматривать и его. После возвращения домой рекомендуется сразу же провести новый осмотр. Сначала следует проверить одежду и отправить ее в стирку, затем внимательно осмотреть места, которые чаще всего выбирают клещи для укусов, такие как подмышки, спина, голова и область под коленками. Также необходимо провести повторный осмотр домашних животных. Если вы обнаружили на себе клеща не впадайте в панику! Постарайтесь как можно быстрее его удалить. Для этого следует немедленно обратиться в ближайшую поликлинику или травмпункт. Когда нет такой возможности, можно удалить клеща самостоятельно с помощью пинцета или инструмента для удаления клещей, который можно приобрести в аптеках, а также с помощью обычной нитки. После удаления обработайте рану антисептиком. Поместите клеща в прозрачную, плотно закрывающуюся ёмкость и сдайте на анализ в лабораторию. ‼ Если при обследовании клеща будет выявлен антиген вируса клещевого энцефалита, то в течение 72 часов после укуса проводят экстренную профилактику противоклещевым иммуноглобулином. В случае выявления боррелий также назначается соответствующее лечение. ‼ Не пытайтесь удалить клеща, смазывая его маслом или вазелином, не давите клеща пальцами. При укусе клеща наиболее распространены следующие симптомы:  Покраснение, зуд, отек в месте присасывания. 🕷 Сыпь на теле. 🕷 Гриппоподобные симптомы: головная боль, лихорадка, тошнота, мышечные боли и слабость, увеличение лимфатических узлов. Немедленно обратитесь к врачу, если у вас появилось плохое самочувствие. ‼ Помните, что соблюдение мер профилактики – это залог вашего здоровья и безопасности. Будьте бдительны и тогда прогулки на свежем воздухе будут приносить только приятные воспоминания. #МОПравобережный #Экосреда #Экология #ГОиЧС;865.0;10;1.0;post;;;
2024-05-14 21:15:39;14183;Глава муниципального округа Правобережный Николай Беляев сегодня присутствовал на отчёте о результатах деятельности Правительства Санкт-Петербурга, который представил губернатор города и поделился своими впечатлениями;1148.0;11;0.0;post;;;
